timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1685897804.58056808,6634845,0.0,0.0,0.5,0.5,0.0,-0.3111017048358917,-0.22729192674160004,0.0,0.0,0.0,0,9
1685897804.68052816,6734805,0.0,0.0,0.5,0.5,0.0,-0.3075524568557739,-0.4706433415412903,0.0,0.0,0.0,0,9
1685897804.78048801,6834765,0.0,0.0,0.5,0.5,0.0,-0.30772578716278076,-0.10700653493404388,0.0,0.0,0.0,0,8
1685897804.88044810,6934725,0.0,0.0,0.5,0.5,0.0,-0.2950025796890259,-0.4119786322116852,0.0,0.0,0.0,0,9
1685897804.98040795,7034685,0.0,0.0,0.5,0.5,0.0,-0.2803858816623688,-0.4711487591266632,0.0,0.0,0.0,0,10
1685897805.08036804,7134645,0.0,0.0,0.5,0.5,0.0,-0.28327256441116333,-0.17937339842319489,0.0,0.0,0.0,0,8
1685897805.18032813,7234605,0.0,0.0,0.5,0.5,0.0,-0.2813209891319275,-0.21110491454601288,0.0,0.0,0.0,0,8
1685897805.28028798,7334565,0.0,0.0,0.5,0.5,0.0,-0.26665064692497253,-0.15889109671115875,0.0,0.0,0.0,0,9
1685897805.38024807,7434525,0.0,0.0,0.5,0.5,0.0,-0.24204282462596893,-0.35924267768859863,0.0,0.0,0.0,0,12
1685897805.48020816,7534485,0.0,0.0,0.4937500059604645,0.5,0.0,-0.22320687770843506,-0.21674425899982452,0.0,0.0,0.0,0,13
1685897805.58016801,7634445,0.0,0.0,0.25,0.5,0.0,-0.21032260358333588,-0.3381505012512207,0.0,0.0,0.0,0,5
1685897805.68012810,7734405,0.0,0.0,0.25,0.5,0.0,-0.22185468673706055,-0.37939971685409546,0.0,0.0,0.0,0,-17
1685897805.78008795,7834365,0.0,0.0,0.25,0.5,0.0,-0.2648899257183075,-0.4238576292991638,0.0,0.0,0.0,0,-36
1685897805.88004804,7934325,0.0,0.0,0.25,0.5,0.0,-0.3311403691768646,-0.4571866989135742,0.0,0.0,0.0,0,-48
1685897805.98000813,8034285,0.0,0.0,0.25,0.5,0.0,-0.41445350646972656,-0.42001673579216003,0.0,0.0,0.0,0,-56
1685897806.07996798,8134245,0.0,0.0,0.25,0.5,0.0,-0.49424856901168823,-0.3180883228778839,0.0,0.0,0.0,0,-60
1685897806.17992806,8234205,0.0,0.0,0.25,0.5,0.0,-0.5603652000427246,-0.34921956062316895,0.0,0.0,0.0,0,-61
1685897806.27988815,8334165,0.0,0.0,0.25,0.5,0.0,-0.6113048791885376,-0.5074585676193237,0.0,0.0,0.0,0,-60
1685897806.37984800,8434125,0.0,0.0,0.25,0.5,0.0,-0.657344400882721,-0.5833801031112671,0.0,0.0,0.0,0,-58
1685897806.47980809,8534085,0.0,0.0,0.25,0.5,0.0,-0.7035171985626221,-0.5889189839363098,0.0,0.0,0.0,0,-57
1685897806.58060098,8634878,0.0,0.0,0.25,0.5,0.0,-0.7481344938278198,-0.6887707114219666,0.0,0.0,0.0,0,-55
1685897806.68056107,8734838,0.0,0.0,0.25,0.5,0.0,-0.7929892539978027,-0.6517291069030762,0.0,0.0,0.0,0,-54
1685897806.78052115,8834798,0.0,0.0,0.25,0.5,0.0,-0.8342770338058472,-1.0483481884002686,0.0,0.0,0.0,0,-53
1685897806.88048100,8934758,0.0,0.0,0.25,0.5,0.0,-0.8911594152450562,-1.130471110343933,0.0,0.0,0.0,0,-53
1685897806.98044109,9034718,0.0,0.0,0.25,0.5,0.0,-0.9662525653839111,-0.7947544455528259,0.0,0.0,0.0,0,-55
1685897807.08040094,9134678,0.0,0.0,0.25,0.5,0.0,-1.0322006940841675,-1.151355266571045,0.0,0.0,0.0,0,-56
1685897807.18036103,9234638,0.0,0.0,0.25,0.5,0.0,-1.1007202863693237,-0.9524641036987305,0.0,0.0,0.0,0,-56
1685897807.28032112,9334598,0.0,0.0,0.25,0.5,0.0,-1.1616859436035156,-1.0241470336914062,0.0,0.0,0.0,0,-56
1685897807.38028097,9434558,0.0,0.0,0.25,0.5,0.0,-1.2136833667755127,-1.265254259109497,0.0,0.0,0.0,0,-56
1685897807.48024106,9534518,0.0,0.0,0.25,0.5,0.0,-1.2693949937820435,-1.4714444875717163,0.0,0.0,0.0,0,-55
1685897807.58020115,9634478,0.0,0.0,0.25,0.5,0.0,-1.3385039567947388,-1.3531696796417236,0.0,0.0,0.0,0,-56
1685897807.68016100,9734438,0.0,0.0,0.25,0.5,0.0,-1.4094632863998413,-1.229327917098999,0.0,0.0,0.0,0,-57
1685897807.78012109,9834398,0.0,0.0,0.25,0.5,0.0,-1.4699114561080933,-1.5879623889923096,0.0,0.0,0.0,0,-57
1685897807.88008094,9934358,0.0,0.0,0.25,0.5,0.0,-1.5347591638565063,-1.435154676437378,0.0,0.0,0.0,0,-58
1685897807.98004103,10034318,0.0,0.0,0.25,0.5,0.0,-1.5964785814285278,-1.5745089054107666,0.0,0.0,0.0,0,-58
1685897808.08000112,10134278,0.0,0.0,0.25,0.5,0.0,-1.6571413278579712,-1.827968716621399,0.0,0.0,0.0,0,-58
1685897808.17996097,10234238,0.0,0.0,0.25,0.5,0.0,-1.727067232131958,-1.8050135374069214,0.0,0.0,0.0,0,-59
1685897808.27992105,10334198,0.0,0.0,0.25,0.5,0.0,-1.8024353981018066,-1.9144914150238037,0.0,0.0,0.0,0,-60
1685897808.37988114,10434158,0.0,0.0,0.25,0.5,0.0,-1.8822455406188965,-1.7583951950073242,0.0,0.0,0.0,0,-61
1685897808.47984099,10534118,0.0,0.0,0.25,0.5,0.0,-1.954591155052185,-1.8016302585601807,0.0,0.0,0.0,0,-62
1685897808.57980108,10634078,0.0,0.0,0.25,0.5,0.0,-2.017062187194824,-1.9768232107162476,0.0,0.0,0.0,0,-62
1685897808.68059397,10734871,0.0,0.0,0.25,0.5,0.0,-2.0781991481781006,-2.22977352142334,0.0,0.0,0.0,0,-61
