,TimeUS,timestamp,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,terrain_z,sub_z,rf
36,25933789,1686415194.880194,0.0,0.0,0.25,0.5,0.0,-1.188334822654724,-1.155492663383484,0.0,0.0,0.0,0,-63,,,
37,26033749,1686415194.980154,0.0,0.0,0.25,0.5,0.0,-1.250767946243286,-1.2153667211532593,0.0,0.0,0.0,0,-63,,,
38,26133709,1686415195.080114,0.0,0.0,0.25,0.5,0.0,-1.3138116598129272,-1.270672082901001,0.0,0.0,0.0,0,-63,,,
39,26233669,1686415195.180074,0.0,0.0,0.25,0.5,0.0,-1.3768988847732544,-1.324473857879639,0.0,0.0,0.0,0,-63,,,
40,26333629,1686415195.2800338,0.0,0.0,0.25,0.5,0.0,-1.4394874572753906,-1.3760993480682373,0.0,0.0,0.0,0,-63,,,
41,26433589,1686415195.379994,0.0,0.0,0.25,0.5,0.0,-1.5010818243026731,-1.4598357677459717,0.0,0.0,0.0,0,-63,,,
42,26533549,1686415195.479954,0.0,0.0,0.25,0.5,0.0,-1.562819004058838,-1.5007294416427612,0.0,0.0,0.0,0,-63,,,
43,26633509,1686415195.5799139,0.0,0.0,0.25,0.5,0.0,-1.6239804029464722,-1.5921516418457031,0.0,0.0,0.0,0,-63,,,
44,26734302,1686415195.6807067,0.0,0.0,0.25,0.5,0.0,-1.6863259077072144,-1.6389819383621216,0.0,0.0,0.0,0,-62,,,
45,26834262,1686415195.7806668,0.0,0.0,0.25,0.5,0.0,-1.7483251094818115,-1.7030069828033447,0.0,0.0,0.0,0,-62,,,
46,26934222,1686415195.880627,0.0,0.0,0.25,0.5,0.0,-1.8103629350662231,-1.748988389968872,0.0,0.0,0.0,0,-62,,,
47,27034182,1686415195.980587,0.0,0.0,0.25,0.5,0.0,-1.8717103004455569,-1.81209659576416,0.0,0.0,0.0,0,-62,,,
48,27134142,1686415196.0805469,0.0,0.0,0.25,0.5,0.0,-1.932396650314331,-1.8718677759170528,0.0,0.0,0.0,0,-62,,,
49,27234102,1686415196.1805067,0.0,0.0,0.25,0.5,0.0,-1.9925549030303955,-1.9537253379821775,0.0,0.0,0.0,0,-62,,,
50,27334062,1686415196.280467,0.0,0.0,0.25,0.5,0.0,-2.053275346755981,-2.0250535011291504,0.0,0.0,0.0,0,-62,,,
51,27434022,1686415196.380427,0.0,0.0,0.25,0.5,0.0,-2.115150213241577,-2.063553094863892,0.0,0.0,0.0,0,-62,,,
52,27533982,1686415196.4803867,0.0,0.0,0.25,0.5,0.0,-2.1768898963928223,-2.1161160469055176,0.0,0.0,0.0,0,-62,,,
53,27633942,1686415196.5803468,0.0,0.0,0.25,0.5,0.0,-2.2377614974975586,-2.200568437576294,0.0,0.0,0.0,0,-62,,,
54,27733902,1686415196.680307,0.0,0.0,0.25,0.5,0.0,-2.2989437580108643,-2.2548508644104004,0.0,0.0,0.0,0,-62,,,
55,27833862,1686415196.780267,0.0,0.0,0.25,0.5,0.0,-2.3603217601776123,-2.308911085128784,0.0,0.0,0.0,0,-62,,,
56,27933822,1686415196.8802269,0.0,0.0,0.25,0.5,0.0,-2.4213833808898926,-2.362987995147705,0.0,0.0,0.0,0,-62,,,
57,28033782,1686415196.9801867,0.0,0.0,0.25,0.5,0.0,-2.481771945953369,-2.4265496730804443,0.0,0.0,0.0,0,-61,,,
58,28133742,1686415197.080147,0.0,0.0,0.25,0.5,0.0,-2.541691303253174,-2.482637882232666,0.0,0.0,0.0,0,-61,,,
59,28233702,1686415197.1801069,0.0,0.0,0.25,0.5,0.0,-2.601101875305176,-2.5450844764709477,0.0,0.0,0.0,0,-61,,,
60,28333662,1686415197.2800667,0.0,0.0,0.25,0.5,0.0,-2.66018295288086,-2.603954792022705,0.0,0.0,0.0,0,-61,,,
61,28433622,1686415197.3800268,0.0,0.0,0.25,0.5,0.0,-2.719000577926636,-2.669102430343628,0.0,0.0,0.0,0,-61,,,
62,28533582,1686415197.479987,0.0,0.0,0.25,0.5,0.0,-2.7778608798980717,-2.7358171939849854,0.0,0.0,0.0,0,-61,,,
63,28633542,1686415197.5799468,0.0,0.0,0.25,0.5,0.0,-2.8371386528015137,-2.797356605529785,0.0,0.0,0.0,0,-60,,,
64,28733502,1686415197.6799068,0.0,0.0,0.25,0.5,0.0,-2.8968751430511475,-2.8863296508789062,0.0,0.0,0.0,0,-60,,,
65,28834295,1686415197.7807,0.0,0.0,0.25,0.5,0.0,-2.95878529548645,-2.920572280883789,0.0,0.0,0.0,0,-60,,,
66,28934255,1686415197.8806598,0.0,0.0,0.25,0.5,0.0,-3.020507335662842,-2.993809700012207,0.0,0.0,0.0,0,-61,,,
67,29034215,1686415197.98062,0.0,0.0,0.25,0.5,0.0,-3.0822741985321045,-3.074866771697998,0.0,0.0,0.0,0,-61,,,
68,29134175,1686415198.08058,0.0,0.0,0.25,0.5,0.0,-3.1449313163757324,-3.1094698905944824,0.0,0.0,0.0,0,-61,,,
69,29234135,1686415198.1805398,0.0,0.0,0.25,0.5,0.0,-3.207542896270752,-3.203996419906616,0.0,0.0,0.0,0,-61,,,
70,29334095,1686415198.2805,0.0,0.0,0.25,0.5,0.0,-3.270801305770874,-3.235797882080078,0.0,0.0,0.0,0,-61,,,
71,29434055,1686415198.38046,0.0,0.0,0.25,0.5,0.0,-3.3339998722076416,-3.3184494972229004,0.0,0.0,0.0,0,-61,,,
72,29534015,1686415198.4804199,0.0,0.0,0.25,0.5,0.0,-3.397284984588623,-3.353463888168335,0.0,0.0,0.0,0,-61,,,
73,29633975,1686415198.58038,0.0,0.0,0.25,0.5,0.0,-3.459984302520752,-3.4485673904418945,0.0,0.0,0.0,0,-61,,,
74,29733935,1686415198.68034,0.0,0.0,0.25,0.5,0.0,-3.522970199584961,-3.496558427810669,0.0,0.0,0.0,0,-61,,,
75,29833895,1686415198.7803,0.0,0.0,0.25,0.5,0.0,-3.5862972736358643,-3.568927764892578,0.0,0.0,0.0,0,-61,,,
76,29933855,1686415198.88026,0.0,0.0,0.25,0.5,0.0,-3.6499388217926025,-3.608132123947144,0.0,0.0,0.0,0,-62,,,
77,30033815,1686415198.9802198,0.0,0.0,0.25,0.5,0.0,-3.713082790374756,-3.683253288269043,0.0,0.0,0.0,0,-62,,,
78,30133775,1686415199.08018,0.0,0.0,0.25,0.5,0.0,-3.775858879089356,-3.7380220890045166,0.0,0.0,0.0,0,-62,,,
79,30233735,1686415199.18014,0.0,0.0,0.25,0.5,0.0,-3.8383476734161377,-3.79827880859375,0.0,0.0,0.0,0,-62,,,
80,30333695,1686415199.2800999,0.0,0.0,0.25,0.5,0.0,-3.9003963470458975,-3.844846248626709,0.0,0.0,0.0,0,-62,,,
81,30433655,1686415199.38006,0.0,0.0,0.25,0.5,0.0,-3.961493968963623,-3.9341750144958496,0.0,0.0,0.0,0,-62,,,
82,30533615,1686415199.48002,0.0,0.0,0.25,0.5,0.0,-4.022686958312988,-3.975954294204712,0.0,0.0,0.0,0,-61,,,
83,30633575,1686415199.57998,0.0,0.0,0.25,0.5,0.0,-4.083778858184815,-4.054417133331299,0.0,0.0,0.0,0,-61,,,
84,30733535,1686415199.67994,0.0,0.0,0.25,0.5,0.0,-4.145053386688232,-4.090110778808594,0.0,0.0,0.0,0,-61,,,
85,30833495,1686415199.7798998,0.0,0.0,0.25,0.5,0.0,-4.205814838409424,-4.186209201812744,0.0,0.0,0.0,0,-61,,,
86,30934288,1686415199.8806927,0.0,0.0,0.25,0.5,0.0,-4.267544746398926,-4.240408897399902,0.0,0.0,0.0,0,-61,,,
87,31034248,1686415199.980653,0.0,0.0,0.25,0.5,0.0,-4.32953691482544,-4.305070877075195,0.0,0.0,0.0,0,-61,,,
88,31134208,1686415200.080613,0.0,0.0,0.25,0.5,0.0,-4.392009258270264,-4.341472625732422,0.0,0.0,0.0,0,-61,,,
89,31234168,1686415200.1805727,0.0,0.0,0.25,0.5,0.0,-4.45385217666626,-4.431285858154297,0.0,0.0,0.0,0,-61,,,
90,31334128,1686415200.2805328,0.0,0.0,0.25,0.5,0.0,-4.515792369842529,-4.467081546783447,0.0,0.0,0.0,0,-61,,,
91,31434088,1686415200.3804927,0.0,0.0,0.25,0.5,0.0,-4.5773701667785645,-4.554940223693848,0.0,0.0,0.0,0,-61,,,
92,31534048,1686415200.480453,0.0,0.0,0.25,0.5,0.0,-4.639162540435791,-4.602947235107422,0.0,0.0,0.0,0,-61,,,
93,31634008,1686415200.5804129,0.0,0.0,0.25,0.5,0.0,-4.70112419128418,-4.6628851890563965,0.0,0.0,0.0,0,-61,,,
94,31733968,1686415200.6803727,0.0,0.0,0.25,0.5,0.0,-4.7628374099731445,-4.736293792724609,0.0,0.0,0.0,0,-61,,,
95,31833928,1686415200.780333,0.0,0.0,0.25,0.5,0.0,-4.824790000915527,-4.801172733306885,0.0,0.0,0.0,0,-61,,,
96,31933888,1686415200.880293,0.0,0.0,0.25,0.5,0.0,-4.887272834777832,-4.864978313446045,0.0,0.0,0.0,0,-61,,,
97,32033848,1686415200.9802527,0.0,0.0,0.25,0.5,0.0,-4.950254440307617,-4.925121784210205,0.0,0.0,0.0,0,-62,,,
98,32133808,1686415201.0802128,0.0,0.0,0.25,0.5,0.0,-5.01352596282959,-4.986228466033936,0.0,0.0,0.0,0,-62,,,
99,32233768,1686415201.1801727,0.0,0.0,0.25,0.5,0.0,-5.076884746551514,-5.023490905761719,0.0,0.0,0.0,0,-62,,,
100,32333728,1686415201.280133,0.0,0.0,0.25,0.5,0.0,-5.13926362991333,-5.109111309051514,0.0,0.0,0.0,0,-62,,,
101,32433688,1686415201.3800929,0.0,0.0,0.25,0.5,0.0,-5.20131778717041,-5.169918060302734,0.0,0.0,0.0,0,-62,,,
102,32533648,1686415201.4800527,0.0,0.0,0.25,0.5,0.0,-5.263596534729004,-5.240346908569336,0.0,0.0,0.0,0,-62,,,
103,32633608,1686415201.580013,0.0,0.0,0.25,0.5,0.0,-5.326338768005371,-5.279079437255859,0.0,0.0,0.0,0,-62,,,
104,32733568,1686415201.679973,0.0,0.0,0.25,0.5,0.0,-5.3886590003967285,-5.334996223449707,0.0,0.0,0.0,0,-62,,,
105,32833528,1686415201.7799327,0.0,0.0,0.25,0.5,0.0,-5.449927806854248,-5.39630651473999,0.0,0.0,0.0,0,-62,,,
106,32933488,1686415201.8798928,0.0,0.0,0.25,0.5,0.0,-5.510317325592041,-5.469742298126221,0.0,0.0,0.0,0,-62,,,
107,33034281,1686415201.980686,0.0,0.0,0.25,0.5,0.0,-5.57108736038208,-5.544486045837402,0.0,0.0,0.0,0,-61,,,
108,33134241,1686415202.080646,0.0,0.0,0.25,0.5,0.0,-5.632094383239746,-5.591030597686768,0.0,0.0,0.0,0,-61,,,
109,33234201,1686415202.180606,0.0,0.0,0.25,0.5,0.0,-5.6933770179748535,-5.675050258636475,0.0,0.0,0.0,0,-61,,,
110,33334161,1686415202.280566,0.0,0.0,0.25,0.5,0.0,-5.755411624908447,-5.733552932739258,0.0,0.0,0.0,0,-61,,,
111,33434121,1686415202.3805258,0.0,0.0,0.25,0.5,0.0,-5.8183135986328125,-5.794235706329346,0.0,0.0,0.0,0,-61,,,
112,33534081,1686415202.480486,0.0,0.0,0.25,0.5,0.0,-5.881677627563477,-5.820882320404053,0.0,0.0,0.0,0,-62,,,
113,33634041,1686415202.580446,0.0,0.0,0.25,0.5,0.0,-5.943906307220459,-5.905632019042969,0.0,0.0,0.0,0,-62,,,
114,33734001,1686415202.6804059,0.0,0.0,0.25,0.5,0.0,-6.005440711975098,-5.967578887939453,0.0,0.0,0.0,0,-62,,,
115,33833961,1686415202.780366,0.0,0.0,0.25,0.5,0.0,-6.066977024078369,-6.019913196563721,0.0,0.0,0.0,0,-62,,,
116,33933921,1686415202.880326,0.0,0.0,0.25,0.5,0.0,-6.128159046173096,-6.068950176239014,0.0,0.0,0.0,0,-61,,,
117,34033881,1686415202.980286,0.0,0.0,0.25,0.5,0.0,-6.188429355621338,-6.158237457275391,0.0,0.0,0.0,0,-61,,,
118,34133841,1686415203.080246,0.0,0.0,0.25,0.5,0.0,-6.248911380767822,-6.2065935134887695,0.0,0.0,0.0,0,-61,,,
119,34233801,1686415203.1802058,0.0,0.0,0.25,0.5,0.0,-6.3096604347229,-6.2605061531066895,0.0,0.0,0.0,0,-61,,,
120,34333761,1686415203.280166,0.0,0.0,0.25,0.5,0.0,-6.370046138763428,-6.331968307495117,0.0,0.0,0.0,0,-61,,,
121,34433721,1686415203.380126,0.0,0.0,0.25,0.5,0.0,-6.43041467666626,-6.374938488006592,0.0,0.0,0.0,0,-61,,,
122,34533681,1686415203.4800858,0.0,0.0,0.25,0.5,0.0,-6.490283012390137,-6.4571852684021,0.0,0.0,0.0,0,-61,,,
123,34633641,1686415203.580046,0.0,0.0,0.25,0.5,0.0,-6.550262928009033,-6.49754524230957,0.0,0.0,0.0,0,-61,,,
124,34733601,1686415203.680006,0.0,0.0,0.25,0.5,0.0,-6.609996795654297,-6.575394630432129,0.0,0.0,0.0,0,-61,,,
125,34833561,1686415203.7799659,0.0,0.0,0.25,0.5,0.0,-6.669807434082031,-6.629651546478272,0.0,0.0,0.0,0,-61,,,
126,34933521,1686415203.879926,0.0,0.0,0.25,0.5,0.0,-6.729798316955566,-6.696778774261475,0.0,0.0,0.0,0,-60,,,
127,35033481,1686415203.9798858,0.0,0.0,0.25,0.5,0.0,-6.790046215057373,-6.786855220794678,0.0,0.0,0.0,0,-60,,,
128,35134274,1686415204.0806787,0.0,0.0,0.25,0.5,0.0,-6.852273941040039,-6.839680194854736,0.0,0.0,0.0,0,-60,,,
