,TimeUS,timestamp,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,terrain_z,sub_z,rf
36,25336528,1685893236.279441,0.0,0.0,0.25,0.5,0.0,-1.8322824239730835,-1.8941349983215328,0.0,0.0,0.0,0,-63,,,
37,25436488,1685893236.3794007,0.0,0.0,0.25,0.5,0.0,-1.901519775390625,-1.8830325603485107,0.0,0.0,0.0,0,-63,,,
38,25536448,1685893236.479361,0.0,0.0,0.25,0.5,0.0,-1.9715834856033323,-2.017287254333496,0.0,0.0,0.0,0,-64,,,
39,25636408,1685893236.5793211,0.0,0.0,0.25,0.5,0.0,-2.0431878566741943,-2.1192243099212646,0.0,0.0,0.0,0,-64,,,
40,25736368,1685893236.679281,0.0,0.0,0.25,0.5,0.0,-2.1198792457580566,-1.8721779584884644,0.0,0.0,0.0,0,-65,,,
41,25836328,1685893236.779241,0.0,0.0,0.25,0.5,0.0,-2.1847407817840576,-1.962118148803711,0.0,0.0,0.0,0,-65,,,
42,25937121,1685893236.880034,0.0,0.0,0.25,0.5,0.0,-2.2387712001800537,-2.3425748348236084,0.0,0.0,0.0,0,-64,,,
43,26037081,1685893236.979994,0.0,0.0,0.25,0.5,0.0,-2.2999658584594727,-2.285515785217285,0.0,0.0,0.0,0,-64,,,
44,26137041,1685893237.079954,0.0,0.0,0.25,0.5,0.0,-2.365065813064575,-2.285240650177002,0.0,0.0,0.0,0,-64,,,
45,26237001,1685893237.179914,0.0,0.0,0.25,0.5,0.0,-2.428997278213501,-2.2699170112609863,0.0,0.0,0.0,0,-64,,,
46,26336961,1685893237.279874,0.0,0.0,0.25,0.5,0.0,-2.487642526626587,-2.2328402996063232,0.0,0.0,0.0,0,-63,,,
47,26436921,1685893237.379834,0.0,0.0,0.25,0.5,0.0,-2.5370543003082275,-2.516873359680176,0.0,0.0,0.0,0,-62,,,
