TimeUS,terrain_z,sub_z,rf
42107000,-20.0,-9.645041724793726,10.259958275206273
42207000,-20.0,-9.635732365252947,10.269267634747052
42308000,-20.0,-9.626630584437116,10.278369415562883
42409000,-20.0,-9.617337085151032,10.287662914848967
42510000,-20.0,-9.60708263007014,10.29791736992986
42612000,-20.0,-9.596647176012725,10.308352823987274
42712000,-20.0,-9.58664517411679,10.31835482588321
42813000,-20.0,-9.576803956940152,10.328196043059847
42914000,-20.0,-9.566943705684373,10.338056294315626
43015000,-20.0,-9.558757147658373,10.346242852341627
43117000,-20.0,-9.550421283130266,10.354578716869733
43217000,-20.0,-9.542055674583386,10.362944325416613
43317000,-20.0,-9.53166863921094,10.37333136078906
43419000,-20.0,-9.521325823632825,10.383674176367174
43520000,-20.0,-9.513426103686294,10.391573896313705
43622000,-20.0,-9.505384338918251,10.399615661081748
43722000,-20.0,-9.497142836359515,10.407857163640484
43822000,-20.0,-9.484971265916851,10.420028734083148
43924000,-20.0,-9.47289730055579,10.43210269944421
44025000,-20.0,-9.464263227929052,10.440736772070947
44127000,-20.0,-9.455500281813729,10.44949971818627
44227000,-20.0,-9.4464169818316,10.4585830181684
44327000,-20.0,-9.432044202585203,10.472955797414796
44431000,-20.0,-9.417690829982698,10.487309170017301
44532000,-20.0,-9.408421919146855,10.496578080853144
44637000,-20.0,-9.398713987961276,10.506286012038723
44738000,-20.0,-9.389020602461693,10.515979397538306
44838000,-20.0,-9.376757271999438,10.528242728000562
44942000,-20.0,-9.36471302052021,10.54028697947979
45043000,-20.0,-9.35673733924757,10.54826266075243
45147000,-20.0,-9.348479262813008,10.556520737186991
45248000,-20.0,-9.341138125068465,10.563861874931535
45349000,-20.0,-9.336667653409071,10.568332346590928
45452000,-20.0,-9.332986810742035,10.572013189257964
45552000,-20.0,-9.334197663952274,10.570802336047725
45657000,-20.0,-9.335453286374172,10.569546713625828
45757000,-20.0,-9.33718655204046,10.567813447959539
45862000,-20.0,-9.341965300586782,10.563034699413217
45964000,-20.0,-9.346458517113007,10.558541482886993
46065000,-20.0,-9.349898544206201,10.555101455793798
46168000,-20.0,-9.353435139347757,10.551564860652242
46269000,-20.0,-9.357245503874916,10.547754496125084
46371000,-20.0,-9.362923289966657,10.542076710033342
46471000,-20.0,-9.368458286980989,10.53654171301901
46571000,-20.0,-9.373729530823695,10.531270469176304
46673000,-20.0,-9.379094081991841,10.525905918008158
46774000,-20.0,-9.38442217874846,10.520577821251539
46876000,-20.0,-9.390355328675557,10.514644671324442
46977000,-20.0,-9.396004901650644,10.508995098349356
47077000,-20.0,-9.400190569322564,10.504809430677435
47179000,-20.0,-9.404520816265146,10.500479183734853
47279000,-20.0,-9.409554167539866,10.495445832460133
47382000,-20.0,-9.414677201798469,10.49032279820153
47482000,-20.0,-9.419990760753107,10.485009239246892
47582000,-20.0,-9.42813301957555,10.476866980424449
47685000,-20.0,-9.436084559347107,10.468915440652893
47786000,-20.0,-9.439815808525818,10.465184191474181
47887000,-20.0,-9.443604437119246,10.461395562880753
47988000,-20.0,-9.44752757644576,10.45747242355424
